date,order,trap,hour,pu,trap_nr,sub
2021-07-14,Hymenoptera,sweep,1,1,1,Wasp
2021-07-14,Hymenoptera,sweep,1,1,1,Wasp
2021-07-14,Hymenoptera,sweep,1,1,1,Wasp
2021-07-14,Hymenoptera,sweep,1,1,1,Wasp
2021-07-14,Hymenoptera,sweep,1,1,1,Wasp
2021-07-14,Hymenoptera,sweep,1,2,1,Wasp
2021-07-14,Hymenoptera,sweep,1,3,1,Wasp
2021-07-14,Hymenoptera,sweep,1,4,1,Wasp
2021-07-14,Hymenoptera,sweep,1,5,1,Wasp
2021-07-14,Hymenoptera,sweep,1,6,1,Wasp
2021-07-14,Hymenoptera,sweep,2,7,2,Wasp
2021-07-14,Hymenoptera,sweep,2,7,2,Wasp
2021-07-14,Hymenoptera,sweep,2,7,2,Wasp
2021-07-14,Hymenoptera,sweep,2,8,2,Ant
2021-07-14,Hymenoptera,sweep,2,8,2,Ant
2021-07-14,Hymenoptera,sweep,2,9,2,Wasp
2021-07-14,Hymenoptera,sweep,2,10,2,Wasp
2021-07-14,Hymenoptera,sweep,2,1,2,Wasp
2021-07-14,Hymenoptera,sweep,2,1,2,Wasp
2021-07-14,Hymenoptera,sweep,2,1,2,Wasp
2021-07-14,Hymenoptera,sweep,2,1,2,Wasp
2021-07-14,Hymenoptera,sweep,2,1,2,Wasp
2021-07-14,Hymenoptera,sweep,2,1,2,Wasp
2021-07-14,Hymenoptera,sweep,2,11,2,Wasp
2021-07-14,Hymenoptera,sweep,2,12,2,Wasp
2021-07-14,Hymenoptera,sweep,2,2,2,Wasp
2021-07-18,Hymenoptera,sweep,3,7,3,Wasp
2021-07-18,Hymenoptera,sweep,3,13,3,Wasp
2021-07-18,Hymenoptera,sweep,3,14,3,Wasp
2021-07-18,Hymenoptera,sweep,3,15,3,Wasp
2021-07-18,Hymenoptera,sweep,3,16,3,Bee
2021-07-18,Hymenoptera,sweep,3,1,3,Wasp
2021-07-18,Hymenoptera,sweep,3,9,3,Wasp
